5:6:18.492787 - debugger.py, 1 - Started
5:6:19.266350 - Interface.py, 378 - Rendering sprite
5:6:19.271352 - Interface.py, 379 - Rendering sprite
5:6:19.275353 - Interface.py, 380 - Rendering sprite
5:6:19.280354 - Interface_Object.py, 381 - Button exit rendering
5:6:19.280354 - Interface_Object.py, 382 - Button start_typing rendering
5:6:19.281354 - Interface_Object.py, 383 - Button stop_typing rendering
5:6:19.281354 - Interface_Object.py, 384 - Textbar cam_id_textbar rendering
5:6:19.282355 - Interface.py, 385 - Main cycle iteration
5:6:19.299324 - Interface_Object.py, 386 - Button exit intersection check
5:6:19.299324 - Interface_Object.py, 387 - Button exit intersection check failed
5:6:19.299324 - Interface_Object.py, 388 - Button exit press check
5:6:19.299324 - Interface_Object.py, 389 - Button exit intersection check failed
5:6:19.299324 - Interface_Object.py, 390 - Button start_typing intersection check
5:6:19.299324 - Interface_Object.py, 391 - Button start_typing intersection check failed
5:6:19.299324 - Interface_Object.py, 392 - Button start_typing press check
5:6:19.299324 - Interface_Object.py, 393 - Button start_typing intersection check failed
5:6:19.299324 - Interface_Object.py, 394 - Button stop_typing intersection check
5:6:19.299324 - Interface_Object.py, 395 - Button stop_typing intersection check failed
5:6:19.299324 - Interface_Object.py, 396 - Button stop_typing press check
5:6:19.299324 - Interface_Object.py, 397 - Button stop_typing intersection check failed
5:6:19.299324 - Interface.py, 398 - Rendering
5:6:19.299324 - Interface.py, 399 - Rendering sprite
5:6:19.304325 - Interface.py, 400 - Rendering sprite
5:6:19.308326 - Interface.py, 401 - Rendering sprite
5:6:19.313327 - Interface_Object.py, 402 - Button exit rendering
5:6:19.314328 - Interface_Object.py, 403 - Button start_typing rendering
5:6:19.314328 - Interface_Object.py, 404 - Button stop_typing rendering
5:6:19.314328 - Interface_Object.py, 405 - Textbar cam_id_textbar rendering
5:6:19.315328 - Interface.py, 406 - Main cycle iteration
5:6:19.332331 - Interface_Object.py, 407 - Button exit intersection check
5:6:19.332331 - Interface_Object.py, 408 - Button exit intersection check failed
5:6:19.332331 - Interface_Object.py, 409 - Button exit press check
5:6:19.332331 - Interface_Object.py, 410 - Button exit intersection check failed
5:6:19.332331 - Interface_Object.py, 411 - Button start_typing intersection check
5:6:19.332331 - Interface_Object.py, 412 - Button start_typing intersection check failed
5:6:19.332331 - Interface_Object.py, 413 - Button start_typing press check
5:6:19.332331 - Interface_Object.py, 414 - Button start_typing intersection check failed
5:6:19.332331 - Interface_Object.py, 415 - Button stop_typing intersection check
5:6:19.332331 - Interface_Object.py, 416 - Button stop_typing intersection check failed
5:6:19.332331 - Interface_Object.py, 417 - Button stop_typing press check
5:6:19.332331 - Interface_Object.py, 418 - Button stop_typing intersection check failed
5:6:19.332331 - Interface.py, 419 - Rendering
5:6:19.332331 - Interface.py, 420 - Rendering sprite
5:6:19.337331 - Interface.py, 421 - Rendering sprite
5:6:19.341332 - Interface.py, 422 - Rendering sprite
5:6:19.346333 - Interface_Object.py, 423 - Button exit rendering
5:6:19.346333 - Interface_Object.py, 424 - Button start_typing rendering
5:6:19.347334 - Interface_Object.py, 425 - Button stop_typing rendering
5:6:19.347334 - Interface_Object.py, 426 - Textbar cam_id_textbar rendering
5:6:19.348334 - Interface.py, 427 - Main cycle iteration
5:6:19.364719 - Interface_Object.py, 428 - Button exit intersection check
5:6:19.364719 - Interface_Object.py, 429 - Button exit intersection check failed
5:6:19.364719 - Interface_Object.py, 430 - Button exit press check
5:6:19.364719 - Interface_Object.py, 431 - Button exit intersection check failed
